date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:01:46	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Feb%202013%2008:01:44%20GMT	http://www.smartgraphics.be/cava	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava.0.delayed	(from )
09:01:46	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202013%2008:01:44%20GMT	http://www.smartgraphics.be/robots.txt		(from )
09:01:46	8544/8544	---M--	200	added ('OK')	text/html	etag:%223bb99269-2160-4d65591ecbb48%22	http://www.smartgraphics.be/cava/	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/index.html	(from )
09:01:46	4091/4091	---M--	200	added ('OK')	image/x-icon	etag:%2211c1cde8-ffb-4d655938f4163%22	http://www.smartgraphics.be/cava/images/logos/cava.ico	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/logos/cava.ico	(from )
09:01:47	14477/14477	---M--	200	added ('OK')	text/css	etag:%22f9165378-388d-4d655920631f3%22	http://www.smartgraphics.be/cava/css/cavaStyle.css	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/css/cavaStyle.css	(from )
09:01:47	1158/1158	---M--	200	added ('OK')	text/css	etag:%2251bfef63-486-4d65592050d06%22	http://www.smartgraphics.be/cava/css/cavaSlider.css	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/css/cavaSlider.css	(from )
09:01:48	2660/2660	---M--	200	added ('OK')	application/javascript	etag:%22e0ade3fa-a64-4d65592120cb6%22	http://www.smartgraphics.be/cava/js/jquery.simpletooltip-min.js	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/js/jquery.simpletooltip-min.js	(from )
09:01:48	8544/8544	---M--	200	added ('OK')	text/html	etag:%223bb99269-2160-4d65591ecbb48%22	http://www.smartgraphics.be/cava/index.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/index-2.html	(from )
09:01:48	9537/9537	---M--	200	added ('OK')	text/html	etag:%229c52d50b-2541-4d65591ed24bc%22	http://www.smartgraphics.be/cava/inscription.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/inscription.html	(from )
09:01:49	18229/18229	---M--	200	added ('OK')	text/html	etag:%229f98d0af-4735-4d65591f7abb1%22	http://www.smartgraphics.be/cava/nosvins.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/nosvins.html	(from )
09:01:50	4118/4118	---M--	200	added ('OK')	application/javascript	etag:%225e87c9ef-1016-4d6559219dc71%22	http://www.smartgraphics.be/cava/js/s3Slider.js	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/js/s3Slider.js	(from )
09:01:50	9084/9084	---M--	200	added ('OK')	text/html	etag:%2249d86f50-237c-4d65591fafb3d%22	http://www.smartgraphics.be/cava/philosophie.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/philosophie.html	(from )
09:01:50	7282/7282	---M--	200	added ('OK')	text/html	etag:%22e4c396da-1c72-4d65591e938f6%22	http://www.smartgraphics.be/cava/domaines.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/domaines.html	(from )
09:01:50	6729/6729	---M--	200	added ('OK')	text/html	etag:%22dddff0d5-1a49-4d65591e59b4e%22	http://www.smartgraphics.be/cava/contact.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/contact.html	(from )
09:01:50	2954/2954	---M--	200	added ('OK')	image/png	etag:%225541c182-b8a-4d65592330ccf%22	http://www.smartgraphics.be/cava/images/deco/cadena.png	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/cadena.png	(from )
09:02:00	78601/78601	---M--	200	added ('OK')	application/javascript	etag:%22321b71d5-13309-4d6559214142b%22	http://www.smartgraphics.be/cava/js/jquery-1.4.4.min.js	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/js/jquery-1.4.4.min.js	(from )
09:02:00	7309/7309	---M--	200	added ('OK')	text/html	etag:%227bf15051-1c8d-4d65591e8e309%22	http://www.smartgraphics.be/cava/descriptif_vin.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/descriptif_vin.html	(from )
09:02:05	25929/25929	---M--	200	added ('OK')	image/png	etag:%228f3c8369-6549-4d65592c80c37%22	http://www.smartgraphics.be/cava/images/deco/test5.png	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/test5.png	(from )
09:02:05	1067/1067	---M--	200	added ('OK')	image/png	etag:%2296735980-42b-4d65592516938%22	http://www.smartgraphics.be/cava/images/deco/details.png	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/details.png	(from )
09:02:05	9089/9089	---M--	200	added ('OK')	text/html	etag:%2229765b96-2381-4d65591f0976f%22	http://www.smartgraphics.be/cava/livraisons_commandes.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/livraisons_commandes.html	(from )
09:02:06	587/587	---M--	200	added ('OK')	image/png	etag:%221ecb06e-24b-4d655926d3960%22	http://www.smartgraphics.be/cava/images/deco/icone_livraisons.png	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/icone_livraisons.png	(from )
09:02:06	7555/7555	---M--	200	added ('OK')	text/html	etag:%22dcb54cf2-1d83-4d65591e28e28%22	http://www.smartgraphics.be/cava/conseils.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/conseils.html	(from )
09:02:07	902/902	---M--	200	added ('OK')	image/png	etag:%227435499e-386-4d65592686343%22	http://www.smartgraphics.be/cava/images/deco/icone_conseils.png	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/icone_conseils.png	(from )
09:02:07	7132/7132	---M--	200	added ('OK')	text/html	etag:%22fd5b6c5c-1bdc-4d65591fae3cd%22	http://www.smartgraphics.be/cava/vins_authentiques.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/vins_authentiques.html	(from )
09:02:07	650/650	---M--	200	added ('OK')	image/png	etag:%2222be82a4-28a-4d6559265b3d9%22	http://www.smartgraphics.be/cava/images/deco/icone_authenticite.png	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/icone_authenticite.png	(from )
09:02:08	5402/5402	---M--	200	added ('OK')	image/png	etag:%22de987aca-151a-4d65592d4024f%22	http://www.smartgraphics.be/cava/images/deco/twitter.png	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/twitter.png	(from )
09:02:09	2396/2396	---M--	200	added ('OK')	image/png	etag:%2244abd65c-95c-4d655925f14c3%22	http://www.smartgraphics.be/cava/images/deco/facebook.png	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/facebook.png	(from )
09:02:09	7591/7591	---M--	200	added ('OK')	text/html	etag:%22597da086-1da7-4d65591e26b01%22	http://www.smartgraphics.be/cava/conditions_generales.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/conditions_generales.html	(from )
09:02:12	13287/13287	---M--	200	added ('OK')	image/png	etag:%225a7eec00-33e7-4d65593b438fc%22	http://www.smartgraphics.be/cava/images/logos/logo_cava_header.PNG	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/logos/logo_cava_header.PNG	(from http://www.smartgraphics.be/cava/)
09:02:13	2539/2539	---M--	200	added ('OK')	image/png	etag:%22d81f5bf4-9eb-4d6559275573a%22	http://www.smartgraphics.be/cava/images/deco/ombre.png	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/ombre.png	(from http://www.smartgraphics.be/cava/)
09:02:13	48/48	---M--	200	added ('OK')	image/gif	etag:%22d09883c2-30-4d6559225ab7b%22	http://www.smartgraphics.be/cava/images/deco/bg_footer.gif	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/bg_footer.gif	(from http://www.smartgraphics.be/cava/)
09:02:13	214/214	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202013%2008:02:12%20GMT	http://www.smartgraphics.be/cava/rouges.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/rouges.20.delayed	(from http://www.smartgraphics.be/cava/)
09:02:13	214/214	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202013%2008:02:12%20GMT	http://www.smartgraphics.be/cava/blancs.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/blancs.21.delayed	(from http://www.smartgraphics.be/cava/)
09:02:14	214/214	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202013%2008:02:12%20GMT	http://www.smartgraphics.be/cava/rosés.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/rosés.22.delayed	(from http://www.smartgraphics.be/cava/)
09:02:14	216/216	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202013%2008:02:12%20GMT	http://www.smartgraphics.be/cava/bordeaux.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/bordeaux.23.delayed	(from http://www.smartgraphics.be/cava/)
09:02:14	213/213	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202013%2008:02:13%20GMT	http://www.smartgraphics.be/cava/medoc.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/medoc.24.delayed	(from http://www.smartgraphics.be/cava/)
09:02:14	216/216	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202013%2008:02:13%20GMT	http://www.smartgraphics.be/cava/cabernet.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/cabernet.25.delayed	(from http://www.smartgraphics.be/cava/)
09:02:14	217/217	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Feb%202013%2008:02:13%20GMT	http://www.smartgraphics.be/cava/sauvignon.html	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/sauvignon.26.delayed	(from http://www.smartgraphics.be/cava/)
09:02:16	153921/153921	---M--	200	added ('OK')	image/jpeg	etag:%22be837aad-25941-4d65592be3cd3%22	http://www.smartgraphics.be/cava/images/deco/satisfaction3_slider.jpg	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/satisfaction3_slider.jpg	(from )
09:02:19	24078/24078	---M--	200	added ('OK')	image/jpeg	etag:%22c5efc282-5e0e-4d65592ee114d%22	http://www.smartgraphics.be/cava/images/deco/test3.jpg	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/test3.jpg	(from http://www.smartgraphics.be/cava/)
09:02:21	25637/25637	---M--	200	added ('OK')	image/jpeg	etag:%222f49e128-6425-4d65592c31ac1%22	http://www.smartgraphics.be/cava/images/deco/test4.jpg	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/test4.jpg	(from http://www.smartgraphics.be/cava/)
09:02:25	39125/39125	---M--	200	added ('OK')	image/jpeg	etag:%22d32eb41a-98d5-4d65592576c15%22	http://www.smartgraphics.be/cava/images/deco/dom1.jpg	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/dom1.jpg	(from http://www.smartgraphics.be/cava/)
09:02:26	222148/222148	---M--	200	added ('OK')	image/jpeg	etag:%22913c35bc-363c4-4d655924841c8%22	http://www.smartgraphics.be/cava/images/deco/cave1_slider.jpg	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/cave1_slider.jpg	(from )
09:02:27	41376/41376	---M--	200	added ('OK')	image/jpeg	etag:%22142a5685-a1a0-4d655925cb377%22	http://www.smartgraphics.be/cava/images/deco/dom2.jpg	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/dom2.jpg	(from http://www.smartgraphics.be/cava/)
09:02:29	35627/35627	---M--	200	added ('OK')	image/jpeg	etag:%22b274cf99-8b2b-4d655925d0964%22	http://www.smartgraphics.be/cava/images/deco/dom3.jpg	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/dom3.jpg	(from http://www.smartgraphics.be/cava/)
09:02:30	265342/265342	---M--	200	added ('OK')	image/jpeg	etag:%22d9627d6f-40c7e-4d655930b298a%22	http://www.smartgraphics.be/cava/images/deco/vignes2_slider.jpg	D:/wamp/www/TFE_Quentin/Site%20CAVA/www.smartgraphics.be/cava/images/deco/vignes2_slider.jpg	(from )
